Date,Open,High,Low,Close,Adj Close,Volume
2007-05-07,48.430000,48.880001,47.410000,47.779999,33.562397,68031100
2007-05-14,47.639999,48.099998,46.980000,47.270000,33.204155,75236800
2007-05-21,47.130001,47.400002,46.320000,46.910000,33.104214,70000200
2007-05-28,47.169998,49.939999,46.470001,49.470001,34.910797,97574800
2007-06-04,50.150002,51.439999,49.599998,50.080002,35.341274,152204800
2007-06-11,49.900002,50.119999,48.900002,49.340000,34.819073,81941400
2007-06-18,49.320000,49.450001,47.770000,47.830002,33.753460,80832200
2007-06-25,48.000000,48.650002,47.689999,48.110001,33.951061,79482000
2007-07-02,48.200001,48.490002,47.990002,48.389999,34.148643,41061600
2007-07-09,48.410000,49.259998,47.230000,49.150002,34.684971,79194000
2007-07-16,49.139999,49.139999,47.919998,48.060001,33.915752,79862000
2007-07-23,48.299999,48.660000,45.730000,45.939999,32.419701,100127300
2007-07-30,46.200001,47.110001,45.480000,45.520000,32.123299,104292300
2007-08-06,45.700001,48.419998,45.700001,46.070000,32.511429,109577900
2007-08-13,46.689999,46.730000,42.919998,43.490002,30.690727,174382700
2007-08-20,43.700001,43.919998,42.959999,43.740002,31.022911,103197900
2007-08-27,43.770000,44.320000,43.160000,43.630001,30.944899,115085100
2007-09-03,43.509998,43.639999,42.310001,42.389999,30.065416,104987400
2007-09-10,42.590000,43.540001,42.090000,43.320000,30.725019,84748300
2007-09-17,43.230000,45.049999,42.990002,44.230000,31.370445,101942300
2007-09-24,44.320000,44.470001,42.680000,43.650002,30.959089,84476000
2007-10-01,43.830002,45.880001,43.660000,45.369999,32.179005,73268800
2007-10-08,45.200001,47.700001,44.630001,47.060001,33.377647,91241300
2007-10-15,47.009998,47.070000,44.959999,44.980000,31.902388,100372500
2007-10-22,44.799999,45.580002,43.270000,44.639999,31.661238,119891100
2007-10-29,44.720001,45.849998,43.660000,44.189999,31.342081,90156500
2007-11-05,44.250000,44.590000,42.500000,42.900002,30.427139,83982800
2007-11-12,42.980000,47.080002,42.660000,46.340000,32.866997,136080900
2007-11-19,46.000000,46.349998,44.680000,45.730000,32.434341,71621300
2007-11-26,46.000000,48.230000,45.000000,47.900002,33.973442,102753300
2007-12-03,47.709999,49.410000,47.490002,49.020000,34.767792,80862200
2007-12-10,49.060001,50.049999,47.599998,47.630001,33.781925,92548200
2007-12-17,47.599998,48.549999,46.869999,48.209999,34.347416,83898800
2007-12-24,48.119999,49.080002,47.619999,48.080002,34.254780,35040900
2007-12-31,47.840000,48.080002,45.369999,45.720001,32.573395,72247200
2008-01-07,45.799999,48.770000,45.240002,47.720001,33.998322,130421000
2008-01-14,47.980000,48.509998,43.110001,47.580002,33.898571,131987800
2008-01-21,46.470001,50.360001,46.090000,48.090000,34.261921,156242900
2008-01-28,48.060001,51.480000,47.900002,51.180000,36.463406,141632800
2008-02-04,51.000000,51.250000,47.840000,48.759998,34.739246,136045800
2008-02-11,48.840000,51.009998,48.340000,49.439999,35.223732,104843300
2008-02-18,50.099998,50.320000,49.009998,49.970001,35.601326,85622600
2008-02-25,50.189999,51.570000,49.529999,49.590000,35.330601,124372700
2008-03-03,49.430000,50.740002,49.220001,49.900002,35.551456,119598700
2008-03-10,50.000000,50.720001,48.639999,49.820000,35.494457,136288000
2008-03-17,49.340000,53.490002,49.290001,53.230000,38.104412,118869300
2008-03-24,53.450001,54.150002,51.770000,52.119999,37.309811,95829600
2008-03-31,52.200001,55.200001,51.630001,54.400002,38.941944,109465800
2008-04-07,54.689999,55.330002,53.740002,54.799999,39.228271,106574600
2008-04-14,54.889999,57.360001,54.860001,56.310001,40.309204,111905600
2008-04-21,56.070000,58.040001,55.750000,57.650002,41.268436,80451500
2008-04-28,57.500000,59.090000,56.900002,57.500000,41.161064,88570700
2008-05-05,57.080002,57.599998,56.029999,57.180000,40.931995,104212400
2008-05-12,57.689999,58.369999,56.369999,57.040001,40.831772,95888700
2008-05-19,56.950001,57.049999,55.049999,55.750000,40.076714,86382200
2008-05-26,55.799999,58.150002,55.799999,57.740002,41.507244,68366000
2008-06-02,57.410000,59.900002,56.520000,58.369999,41.960133,108325600
2008-06-09,58.980000,59.950001,58.439999,59.180000,42.542400,105476900
2008-06-16,58.900002,59.529999,56.200001,56.259998,40.443329,101614800
2008-06-23,56.599998,58.730000,55.849998,56.299999,40.472076,105688800
2008-06-30,56.730000,57.820000,55.610001,56.599998,40.687740,77518200
2008-07-07,56.750000,59.290001,55.639999,56.290001,40.464893,138220900
2008-07-14,57.000000,58.070000,55.340000,57.919998,41.636635,119472900
2008-07-21,58.080002,59.560001,56.580002,56.830002,40.853085,111476600
